,Year,FIPSStateCode,FIPSCountyCode,Income,Rate,IncRat,Purpose,LTV,First,BoRace,BoGender,BoAge,Occup,Amount,PropType,BoCreditScore
37430,2009,8,49,160213,0.0538,2.9779,2,0.5764,2,5,1,99,1,230000,PT01,3
37431,2009,31,47,21072,0.0625,0.4068,1,0.9818,1,5,2,60,1,37064,PT01,2
37432,2009,31,55,187452,0.0563,2.7936,1,0.9819,1,5,1,44,1,223771,PT01,3
37433,2009,31,159,24000,0.06,0.3647,1,0.9819,1,5,1,29,1,24448,PT01,2
37434,2009,31,109,32232,0.055,0.4898,1,0.9819,1,5,1,33,1,71675,PT01,3
37435,2009,20,45,39813,0.055,0.625,1,0.9819,1,5,2,29,1,162011,PT01,5
37436,2009,31,141,29850,0.0575,0.5763,1,1.02,1,5,2,40,1,38760,PT01,4
37437,2009,39,17,114018,0.045,1.7223,2,0.71,2,5,1,39,1,157000,PT01,5
37438,2009,39,61,26997,0.0513,0.4078,2,0.32,2,5,2,55,1,40500,PT01,5
37439,2009,39,61,49346,0.0513,0.7454,2,0.75,2,7,2,54,1,101250,PT01,5
37440,2009,39,25,50938,0.045,0.7695,2,0.6,2,5,1,67,1,113000,PT01,5
37441,2009,21,37,28065,0.0513,0.4239,2,0.45,2,5,1,64,1,55500,PT01,5
37442,2009,39,61,179757,0.0488,2.7154,2,0.48,2,5,1,63,1,240000,PT01,5
37443,2009,39,165,240817,0.0488,3.6377,2,0.71,2,5,1,47,1,290100,PT02,5
37444,2009,39,17,123084,0.045,1.8593,2,0.47,2,7,2,51,1,118000,PT01,5
37445,2009,39,165,71781,0.0513,1.0843,2,0.62,2,5,1,67,1,98000,PT06,5
37446,2009,21,113,60624,0.05,0.9547,2,0.8,2,5,2,34,1,131000,PT01,4
37447,2009,19,193,14556,0.045,0.2618,1,0.6552,1,2,1,40,1,38000,PT01,4
37448,2009,20,91,42378,0.0488,0.625,2,0.24,2,5,1,75,1,39000,PT01,5
37449,2009,20,129,92976,0.055,1.8558,2,0.7425,2,5,1,75,1,148500,PT01,5
37450,2009,20,91,60318,0.05,0.8896,2,0.79,2,3,2,38,1,136800,PT01,4
37451,2009,31,55,104832,0.0525,1.5623,1,0.9819,2,5,1,27,1,204232,PT04,4
37452,2009,31,127,91235,0.055,1.7613,1,0.9819,1,5,1,29,1,108007,PT04,4
37453,2009,31,55,37080,0.05,0.5526,1,0.9819,1,5,2,29,1,99170,PT04,2
37454,2009,31,55,52740,0.055,0.7859999999999999,1,0.9819,1,2,1,45,1,109479,PT04,3
37455,2009,31,81,66071,0.055,1.2755,1,0.965,2,5,1,32,1,154400,PT04,3
37456,2009,20,173,82026,0.0475,1.3832,2,0.7719,2,5,1,45,1,220000,PT01,5
37457,2009,27,25,34547,0.055,0.42700000000000005,1,1.02,1,5,2,36,1,132600,PT01,5
37458,2009,40,27,580302,0.0575,10.4937,1,0.8,2,5,1,73,2,196000,PT01,5
37459,2009,29,127,65991,0.055,1.5066,1,1.04,2,5,1,99,1,140000,PT01,5
37460,2009,17,161,24960,0.0463,0.4245,2,0.64,2,5,1,41,1,40000,PT01,4
37461,2009,17,161,66081,0.045,1.1238,2,0.8,2,5,1,49,1,94400,PT01,5
37462,2009,29,71,42120,0.06,0.648,2,0.79,2,5,1,28,1,163000,PT01,4
37463,2009,19,67,48881,0.055,0.9137,2,0.8,2,5,1,30,1,84000,PT01,3
37464,2009,29,99,114386,0.0588,1.7598,2,0.4359,2,5,1,61,1,85000,PT01,5
37465,2009,27,9,61104,0.0488,0.9473,2,0.8,2,5,2,25,1,133600,PT01,4
37466,2009,19,79,156244,0.05,2.9204,2,0.8,2,5,1,43,1,196000,PT01,5
37467,2009,19,179,41772,0.0575,0.7808,1,1.0,1,5,1,28,1,66326,PT01,2
37468,2009,39,85,12,0.055,0.0002,2,0.86,2,5,1,61,1,213242,PT01,2
37469,2009,39,17,12,0.0525,0.0002,2,1.0,2,5,1,35,1,166175,PT01,4
37470,2009,21,117,12,0.055,0.0002,2,1.01,2,5,1,42,1,106985,PT01,5
37471,2009,39,97,73500,0.0525,1.0714,2,0.87,2,5,1,32,1,140109,PT01,5
37472,2009,27,115,27540,0.06,0.4708,1,0.99,1,5,1,29,1,88271,PT12,3
37473,2009,39,153,28860,0.0588,0.444,1,0.99,1,3,1,22,1,59403,PT01,4
37474,2009,39,49,12,0.0588,0.0002,2,1.0,2,3,1,65,1,97328,PT01,2
