Year,StateFIPS,CountyFIPS,Amount,Income,Rate,Income Ratio,LTV,Property Type,First,Race,Gender,Age,Credit Score
2015,21,117,144000,131358,0.0313,1.8475,0.8,PT01,1,5,2,26,5
2015,45,13,210000,65215,0.04,0.9763,0.5,PT02,2,5,1,64,5
2015,47,37,301500,100000,0.04,1.5244,0.9,PT01,2,5,2,43,5
2015,47,147,69000,33654,0.0388,0.513,0.69,PT01,2,5,2,43,5
2015,21,117,328000,147120,0.0388,2.0692,0.8,PT01,2,5,1,35,5
2015,21,117,120621,117878,0.0388,1.6579,0.8,PT01,2,5,1,43,5
2015,21,117,331200,114230,0.0425,1.6066,0.8,PT01,2,5,1,52,3
2015,21,67,287200,120504,0.0388,1.7773,0.8,PT02,2,5,2,37,5
2015,21,93,98000,65850,0.0325,1.1512,0.49,PT01,2,5,1,41,5
2015,21,29,199200,62400,0.04,0.972,0.8,PT01,2,5,1,37,4
2015,21,37,131200,50316,0.0425,0.7077,0.8,PT01,2,5,2,32,5
2015,21,117,260000,150924,0.04,2.1227,0.73,PT01,2,5,1,45,5
2015,21,151,152000,60000,0.0388,1.3072,0.95,PT01,1,5,1,55,4
2015,21,37,88000,93840,0.0388,1.3198,0.69,PT01,2,5,1,65,5
2015,21,15,176200,320112,0.0388,4.5023,0.95,PT02,1,5,2,29,5
2015,21,67,133600,67000,0.04,0.9882,0.8,PT01,1,5,2,26,5
2015,21,67,288000,177924,0.0388,2.6242,0.8,PT02,2,5,1,41,5
2015,21,117,229950,84002,0.0388,1.1815,0.8,PT01,2,5,1,37,5
2015,21,67,100000,23880,0.04,0.3522,0.67,PT01,2,5,2,50,5
2015,21,67,341200,128136,0.0388,1.8899,0.92,PT02,2,5,1,46,4
2015,21,113,162500,70032,0.0388,1.0329,0.8,PT01,2,5,1,35,5
2015,21,15,130000,42578,0.0388,0.5988,0.69,PT01,2,5,2,32,5
2015,21,15,175200,87613,0.0388,1.2323,0.8,PT01,2,5,1,40,5
2015,21,67,155800,41040,0.0388,0.6053,0.95,PT01,2,2,2,45,5
2015,21,239,204700,69036,0.0388,1.0182,0.9,PT02,2,5,1,36,5
2015,21,117,172000,36480,0.0388,0.5131,0.8,PT01,2,5,2,32,5
2015,21,117,210000,91236,0.0388,1.2832,0.68,PT01,2,5,1,32,4
2015,21,117,202000,92290,0.04,1.298,0.92,PT01,2,5,1,44,4
2015,47,189,284000,147085,0.0388,2.2421,0.8,PT01,1,5,2,30,4
2015,21,101,55200,36790,0.0388,0.5785,0.8,PT01,2,5,2,36,5
2015,21,101,280000,337392,0.0375,5.3049,0.8,PT01,2,5,1,60,4
2015,21,193,184800,95793,0.0363,2.087,0.8,PT01,2,5,1,40,5
2015,21,193,44000,32922,0.0325,0.7173,0.8,PT01,2,5,2,56,3
2015,21,111,45000,59821,0.0325,0.9318,0.2,PT01,2,7,3,55,5
